State,date,fips,cases,deaths,month,day
Arkansas,2020-07-09,5,26052,309,7,9
Arkansas,2020-05-25,5,6029,117,5,25
Arkansas,2020-04-21,5,2262,43,4,21
Arkansas,2020-05-18,5,4813,100,5,18
Arkansas,2020-08-07,5,48039,521,8,7
Arkansas,2020-07-26,5,38623,401,7,26
Arkansas,2020-05-26,5,6180,119,5,26
Arkansas,2020-03-30,5,508,7,3,30
Arkansas,2020-05-15,5,4463,98,5,15
Arkansas,2020-07-11,5,27864,319,7,11
Arkansas,2020-05-12,5,4164,95,5,12
Arkansas,2020-05-05,5,3525,83,5,5
Arkansas,2020-04-16,5,1620,37,4,16
Arkansas,2020-04-22,5,2392,44,4,22
Arkansas,2020-07-22,5,35246,380,7,22
Arkansas,2020-06-24,5,17375,240,6,24
Arkansas,2020-05-04,5,3469,80,5,4
Arkansas,2020-07-04,5,23209,286,7,4
Arkansas,2020-08-22,5,56199,674,8,22
Arkansas,2020-04-26,5,3001,50,4,26
Arkansas,2020-07-14,5,29733,331,7,14
Arkansas,2020-06-07,5,9426,154,6,7
Arkansas,2020-05-10,5,4012,91,5,10
Arkansas,2020-07-05,5,23814,287,7,5
Arkansas,2020-08-12,5,51114,573,8,12
Arkansas,2020-06-08,5,9740,155,6,8
Arkansas,2020-06-09,5,10080,161,6,9
Arkansas,2020-04-29,5,3207,59,4,29
Arkansas,2020-05-28,5,6538,125,5,28
Arkansas,2020-07-27,5,39447,408,7,27
Arkansas,2020-07-16,5,31114,341,7,16
Arkansas,2020-04-12,5,1280,27,4,12
Arkansas,2020-05-17,5,4759,98,5,17
Arkansas,2020-06-06,5,9101,154,6,6
Arkansas,2020-06-15,5,12917,182,6,15
Arkansas,2020-05-11,5,4043,94,5,11
Arkansas,2020-08-09,5,49383,544,8,9
Arkansas,2020-04-17,5,1695,37,4,17
Arkansas,2020-04-30,5,3281,61,4,30
Arkansas,2020-06-25,5,18062,240,6,25
